timestamp,x,y,z,vx,vy,vz,ax,ay,az,phi,theta,psi,wx,wy,wz,dwx,dwy,dwz,bias_ax,bias_ay,bias_az,bias_wx,bias_wy,bias_wz
1542785189.495545668,-3.81978e-06,1.9057e-05,-0.000598885,-1.35182e-05,-0.000192895,0.000811108,-0.0012243,-5.81794e-05,0.0686404,-1.81998,-0.362893,0.00643641,0.000664902,-0.000104704,0.00105751,0.000421192,-6.63382e-05,0.000669965,-3.60887e-09,-3.60887e-09,-3.60887e-09,-3.60887e-09,-3.60887e-09,-3.60887e-09
1542785189.495762073,-7.16497e-06,3.26387e-05,-0.00108059,-2.66561e-05,-0.000456621,0.00158207,-0.00131645,-2.69361e-05,0.0687049,-1.81958,-0.362924,0.00702519,0.000705351,-8.5908e-05,0.00102533,0.000825284,-0.000115555,0.00125741,1.62178e-08,-6.04805e-09,8.93903e-09,-5.06129e-09,-4.97537e-09,-4.88944e-09
1542785189.501699620,-8.43988e-06,3.53795e-05,-0.00124388,-3.68987e-05,-0.000651031,0.0020558,-0.00173011,-0.000286187,0.0682093,-1.81928,-0.362904,0.00742559,0.00087784,1.98808e-05,0.00117822,0.001124,-0.000108839,0.00165834,1.39797e-08,-6.57139e-09,1.16398e-08,2.26192e-09,2.38447e-09,2.50293e-09
1542785189.513049352,-1.29111e-05,4.79492e-05,-0.00185163,-5.73249e-05,-0.00113084,0.00303796,-0.00181518,-0.00042691,0.067421,-1.81861,-0.362946,0.0079087,0.00103323,-8.79777e-05,0.000740333,0.00179605,-0.000166014,0.00213972,1.13267e-08,-8.6585e-09,9.9118e-09,-3.96683e-09,-4.01776e-09,3.95812e-09
1542785189.513573578,1.1102e-06,1.81927e-05,-0.000510889,9.73749e-05,-4.58628e-05,0.000654297,-0.00197863,-9.9381e-05,0.0671904,-1.81716,-0.362128,0.00567086,0.00124516,0.000236997,-0.000157624,0.000713417,0.000135791,-9.02909e-05,-5.63694e-06,-4.8463e-05,0.000117078,-0.000259771,-0.000269305,0.000760267
1542785189.526082271,-2.66566e-06,4.19349e-05,-0.00126929,7.379e-05,-0.000220816,0.00152774,-0.00196267,0.000141955,0.0671815,-1.81619,-0.362036,0.0054439,0.00135748,0.000137925,-0.000312489,0.00168633,0.00023466,-0.000314235,-5.65352e-06,-4.84763e-05,0.000117083,-0.000259775,-0.000269298,0.000760265
1542785189.561801120,-5.11099e-06,5.52557e-05,-0.001744,5.95168e-05,-0.000403849,0.00223226,-0.00192753,0.000175133,0.0664717,-1.81531,-0.362031,0.00494061,0.00152269,3.73271e-05,-0.000877664,0.00255876,0.000256014,-0.000817083,-5.65596e-06,-4.85072e-05,0.000117086,-0.00025976,-0.000269307,0.000760266
1542785189.574254134,-9.25431e-06,7.43989e-05,-0.00247608,6.00636e-05,-0.000674594,0.00312709,-0.00114072,0.0012226,0.0658737,-1.8143,-0.362033,0.00418648,0.00141719,2.99165e-05,-0.00105653,0.00356989,0.000277331,-0.00157094,-5.636e-06,-4.85238e-05,0.000117078,-0.000259754,-0.0002693,0.000760269
1542785189.585319841,3.48827e-06,3.76654e-05,-0.00102491,0.000109955,-6.08664e-05,0.000925441,-0.000852364,0.00471934,0.0477919,-1.81692,-0.360148,0.00422584,0.000538687,0.000650819,-0.000725743,0.000341546,0.000412616,-0.000460141,-0.00024427,-0.00467111,0.0175384,0.000583931,-0.000676688,0.000591714
1542785189.606029203,1.47795e-06,5.28271e-05,-0.00150658,0.000104157,-0.000113053,0.00141282,-0.000667703,0.00424707,0.0473067,-1.81673,-0.359715,0.00383005,0.000326353,0.000775975,-0.000666499,0.000528527,0.000857233,-0.000842028,-0.000244285,-0.00467109,0.0175384,0.000583926,-0.000676691,0.000591711
1542785189.609571187,-5.71721e-07,6.74907e-05,-0.00198337,0.000102459,-0.000184352,0.0019087,-0.000412751,0.00426593,0.0475673,-1.81666,-0.359182,0.00351118,0.000122271,0.000947593,-0.00052672,0.000598597,0.00140011,-0.0011438,-0.000244275,-0.00467108,0.0175385,0.000583925,-0.000676694,0.00059171
1542785189.610154683,1.32565e-05,6.08676e-05,-0.000907564,0.000189383,0.000182586,0.000679833,0.000128954,0.00629089,0.0383124,-1.81834,-0.359058,0.00470973,-6.17424e-05,0.000873658,-0.000261913,-3.5369e-05,0.000500554,-0.000150063,-0.00071138,-0.00711274,0.0269172,0.000875473,-0.000592198,0.00033453
1542785189.615960063,1.33133e-05,6.72859e-05,-0.00106921,0.000190909,0.000174703,0.000909201,0.000209908,0.00634444,0.0383572,-1.81835,-0.358802,0.0046293,-3.87501e-05,0.000775696,-0.000217289,-4.82298e-05,0.000758557,-0.000222333,-0.000711393,-0.00711275,0.0269171,0.000875477,-0.000592198,0.000334528
1542785189.621540196,5.74179e-06,7.16149e-05,-0.000477093,7.16611e-05,0.000218206,0.000175505,0.000114544,0.00635755,0.0345511,-1.81794,-0.360768,0.00416892,-5.18356e-05,0.000567083,-0.000377663,-1.65743e-05,0.000181315,-0.000120756,-0.000119887,-0.00746288,0.0311944,0.000782367,-0.000297256,0.000421357
1542785189.622297250,3.36201e-06,8.97165e-05,-0.000966881,7.22684e-05,0.000208653,0.000532816,4.54924e-05,0.00621475,0.0345969,-1.81789,-0.360418,0.00390144,8.1713e-05,0.000625676,-0.000447192,3.0221e-05,0.00053979,-0.000376959,-0.00011987,-0.00746289,0.0311944,0.00078237,-0.000297252,0.000421355
1542785189.628227979,4.95993e-06,8.51516e-05,-0.000483715,7.83737e-05,0.000201361,0.000126027,0.000535488,0.00645719,0.0326697,-1.81786,-0.362297,0.00428848,0.000132424,0.00046563,-0.000497559,4.50222e-05,0.00015821,-0.000169092,-0.000125209,-0.00750387,0.0336492,0.00080546,-0.000119824,0.000338914
1542785189.639331085,2.02498e-06,0.00010702,-0.00108841,8.28694e-05,0.000195556,0.000503923,0.000389547,0.00638162,0.0329041,-1.81788,-0.362106,0.00396327,-3.38707e-05,0.000315471,-0.000501422,2.34825e-05,0.000358912,-0.00048806,-0.000125189,-0.00750389,0.0336492,0.000805461,-0.000119819,0.000338908
1542785189.645191389,1.46505e-06,0.000113617,-0.00125428,8.76767e-05,0.000184061,0.000710679,0.000733253,0.00613074,0.0338028,-1.81783,-0.362141,0.00386794,0.000136305,-9.53635e-05,-0.000287117,6.92039e-05,0.000326924,-0.000584489,-0.000125187,-0.00750391,0.0336491,0.000805462,-0.000119815,0.000338906
1542785189.699827193,-7.18177e-07,0.000131352,-0.00173878,9.74327e-05,0.000149683,0.00106294,0.000839148,0.00588686,0.0332767,-1.81782,-0.362333,0.00375275,1.29967e-05,-0.000327962,-0.000211514,7.66448e-05,0.000138987,-0.000705672,-0.000125181,-0.00750393,0.0336491,0.000805464,-0.000119815,0.000338907
1542785189.735314185,-2.81948e-06,0.000148731,-0.00221978,0.000106301,0.000103793,0.00141861,0.000614457,0.00582001,0.0331838,-1.81781,-0.36254,0.00364581,2.54901e-05,-0.000354971,-0.000198009,9.12934e-05,-6.44077e-05,-0.000819138,-0.000125174,-0.00750393,0.0336491,0.000805466,-0.000119814,0.000338903
1542785189.755128499,3.00438e-06,0.000165649,-0.00233704,0.000202136,0.000302261,0.000513398,0.000566856,0.00642008,0.0272448,-1.81814,-0.362538,0.00590245,-0.000247247,-0.00036909,0.000237958,-0.00028069,-0.000419015,0.00027017,-0.000429058,-0.00829629,0.0389547,0.000803751,-0.000198657,0.000163628
1542785189.771673708,-2.09124e-06,0.000214408,-0.00367531,0.000216176,0.000306926,0.000966535,0.00073027,0.00721882,0.0260932,-1.81853,-0.362674,0.0060576,-0.000404092,-0.000148769,0.000158998,-0.000663732,-0.000560034,0.000420889,-0.000429041,-0.00829627,0.0389547,0.00080375,-0.000198654,0.000163627
1542785189.777198146,-1.82037e-06,0.000220988,-0.00382011,0.00022285,0.000304193,0.00111926,0.000901272,0.00728328,0.0261046,-1.81869,-0.362707,0.00607369,-0.00053041,-0.00010501,4.75339e-05,-0.000831673,-0.000593283,0.00043592,-0.000429036,-0.00829626,0.0389547,0.000803748,-0.000198655,0.000163625
1542785189.789799482,1.63498e-05,0.000153143,-0.00165021,0.000239021,0.000294028,0.000237154,0.00111688,0.00736572,0.0206949,-1.81866,-0.363143,0.00622014,-0.000417404,-0.000207737,-5.66525e-05,-0.000301358,-0.000150001,-4.08918e-05,-0.000399547,-0.00826969,0.0440344,0.0007669,-0.000156879,0.000169926
1542785189.800264098,1.54685e-05,0.000173728,-0.00218673,0.000243966,0.000305623,0.000472326,0.000427036,0.00695094,0.0213937,-1.8188,-0.363159,0.00620442,-0.000239146,-2.56099e-05,-2.70776e-05,-0.000444766,-0.000165349,-5.71318e-05,-0.00039956,-0.00826969,0.0440344,0.0007669,-0.000156881,0.000169925
1542785189.807563271,1.55764e-05,0.000184469,-0.00244552,0.000244015,0.000304997,0.000640353,-0.000103743,0.00669595,0.0215932,-1.81876,-0.363205,0.00612962,9.52496e-05,-0.000104852,-0.000182258,-0.000404922,-0.000209229,-0.000133359,-0.000399576,-0.00826968,0.0440344,0.000766897,-0.00015688,0.000169924
1542785189.819565910,1.39352e-05,0.000211072,-0.00314691,0.000235219,0.000285415,0.000924478,-0.000899618,0.00613884,0.0217951,-1.81851,-0.363341,0.00610155,0.00037108,-0.000195711,-4.70462e-05,-0.000149678,-0.000343854,-0.00016574,-0.000399584,-0.00826968,0.0440344,0.000766897,-0.000156881,0.000169921
1542785189.831251673,1.23571e-05,0.000236164,-0.00380822,0.0002286,0.000254425,0.00120755,-0.000877723,0.00595562,0.0219503,-1.81825,-0.363413,0.00611343,0.000381915,-0.000109166,1.43251e-05,0.000106048,-0.000416913,-0.000156139,-0.000399587,-0.00826968,0.0440344,0.000766898,-0.00015688,0.000169922
1542785189.832708287,6.10183e-05,9.38047e-05,-0.00133716,0.000330996,0.000117447,-0.000410575,0.000311284,0.00530873,0.0163139,-1.8181,-0.364621,0.00766406,0.000343025,-0.000152306,6.10704e-05,0.000196526,-8.72805e-05,3.50091e-05,-0.000703001,-0.00800211,0.0497541,0.000774682,-7.26736e-05,5.6861e-05
1542785189.838158256,6.18923e-05,9.91772e-05,-0.00148569,0.000334499,0.000117298,-0.000321242,0.000619863,0.00514996,0.0153874,-1.81798,-0.364683,0.00768698,0.000382574,-0.000201097,6.70056e-05,0.00031601,-0.000150065,5.59304e-05,-0.000702992,-0.0080021,0.0497541,0.000774683,-7.26735e-05,5.68657e-05
1542785189.849752691,6.16422e-05,0.00012194,-0.0021515,0.000350431,0.000111867,-0.00012606,0.00133521,0.00564389,0.0154318,-1.81794,-0.364681,0.007957,7.12444e-05,-1.08142e-05,0.000406314,0.000363329,-0.000157275,0.000325838,-0.000702993,-0.0080021,0.0497541,0.000774682,-7.26713e-05,5.6868e-05
