timestamp,x,y,z,vx,vy,vz,phi,theta,psi
1542785189.148566585,3.1695e-06,1.41282e-06,-1.76283e-06,0.00011734,4.1804e-05,-3.27694e-05,-1.81786,-0.36225,0.00573061
1542785189.197432479,8.7429e-06,3.74589e-06,-1.66728e-06,0.00012701,5.6909e-05,-4.53044e-06,-1.81741,-0.360523,0.00472937
1542785189.250939359,1.78482e-05,3.46221e-05,-1.49813e-06,0.000206153,0.000255122,-3.94217e-05,-1.81853,-0.35964,0.00507988
1542785189.298868218,4.37265e-06,6.46086e-05,-5.26829e-05,3.2311e-05,0.000227636,-0.000318143,-1.81774,-0.36154,0.00413223
1542785189.349718031,6.38721e-06,7.43003e-05,-6.73314e-05,7.66823e-05,0.000191299,-0.000273568,-1.81796,-0.362894,0.00468719
1542785189.400022806,1.33656e-05,8.77592e-05,-8.09778e-05,0.000204034,0.000303716,-0.000253169,-1.81786,-0.362031,0.00584726
1542785189.447724439,2.36152e-05,9.97071e-05,-9.3553e-05,0.000225043,0.000250658,-0.000268902,-1.8183,-0.363056,0.00624799
1542785189.508899502,6.86125e-05,5.02077e-05,-0.000315553,0.000342312,8.67212e-05,-0.000827679,-1.81831,-0.364654,0.00782449
1542785189.549299809,8.34452e-05,5.31741e-05,-0.000350078,0.000374896,7.04922e-05,-0.000847245,-1.81789,-0.365094,0.0058174
1542785189.602727941,9.96405e-05,5.52249e-05,-0.000385378,0.000370048,4.24077e-05,-0.000761411,-1.81748,-0.365407,0.00369265
1542785189.648017896,0.000119495,5.77299e-05,-0.000427507,0.000351252,6.0678e-05,-0.000790356,-1.81848,-0.366066,0.00318299
1542785189.700917659,0.00013827,6.33653e-05,-0.000469412,0.000343988,0.000128228,-0.000729775,-1.81884,-0.366046,0.00177534
1542785189.753583010,0.00015793,7.0949e-05,-0.00050517,0.000388628,0.000161739,-0.000624574,-1.81808,-0.366133,0.000588641
1542785189.799433067,0.000172892,7.67419e-05,-0.00052986,0.00035043,0.000137617,-0.000557116,-1.81909,-0.366068,-0.000477508
1542785189.851943772,0.000193009,8.56869e-05,-0.000558245,0.000349023,0.000179023,-0.000458023,-1.81882,-0.366672,-0.00137958
1542785189.901870268,0.000208284,9.331e-05,-0.000578862,0.000305383,0.000136566,-0.000413332,-1.81934,-0.367459,-0.0015992
1542785189.949569037,0.000222451,0.000100325,-0.000599351,0.000273067,0.000178556,-0.000424042,-1.8185,-0.365973,-0.00314252
1542785190.001802083,0.000235357,0.000109986,-0.000619838,0.000251432,0.00020239,-0.000368126,-1.81797,-0.365229,-0.00352784
1542785190.056436957,6.35034e-05,0.000534253,-0.000821652,9.12762e-05,0.000690279,-0.000538749,-1.81873,-0.367409,-0.00263647
1542785190.106317038,6.83838e-05,0.000569428,-0.000847071,9.13362e-05,0.000758925,-0.000520778,-1.8188,-0.367122,-0.00131585
1542785190.155533946,-0.00139349,0.000855147,-0.000900817,-0.00141014,0.00107427,-0.000541664,-1.81899,-0.367745,-0.00467103
1542785190.207930490,-0.0014638,0.000908558,-0.000925946,-0.00150445,0.00112167,-0.000507081,-1.81775,-0.368428,-0.00619538
1542785190.257002674,-0.00164912,0.000338122,-0.00077212,-0.00167301,0.000480222,-0.00030519,-1.81894,-0.367838,-0.00328255
1542785190.304413123,-0.00173267,0.00036278,-0.000788078,-0.00173268,0.000519225,-0.000316423,-1.818,-0.368208,-0.00386606
1542785190.355627588,-0.00120348,0.000935636,-0.000521061,-0.0011657,0.00111569,-2.03957e-05,-1.81782,-0.365798,-0.00262822
1542785190.405008704,-0.00126148,0.000990521,-0.000521108,-0.00117928,0.00112012,2.0874e-05,-1.81723,-0.365396,-0.00303866
1542785190.450827876,-0.000286332,0.000933767,-0.000610943,-0.000302442,0.00100835,-5.14093e-05,-1.817,-0.366014,-0.00316726
1542785190.501673903,-0.000300343,0.000982376,-0.000611757,-0.000302965,0.00100487,2.1078e-05,-1.81637,-0.36613,-0.00384349
1542785190.552119383,0.000191597,0.000745254,-0.000534513,9.44104e-05,0.000757083,0.00012319,-1.81666,-0.366114,-0.00347029
1542785190.600495974,0.000195995,0.000782122,-0.000528747,8.22297e-05,0.000776513,0.000117256,-1.8159,-0.367199,-0.00522453
1542785190.652960118,0.000824352,0.0004797,-0.000504795,0.000624019,0.000376748,0.000214774,-1.81671,-0.367207,-0.00464784
1542785190.709062941,0.000861507,0.000500305,-0.000490015,0.000608307,0.000317422,0.000277738,-1.81724,-0.368182,-0.00588294
1542785190.755458256,0.00123365,0.00123569,-0.000481722,0.00100111,0.000969916,0.000355738,-1.81752,-0.366014,-0.0050444
1542785190.807175482,0.00128168,0.00128384,-0.000464485,0.000970861,0.00102537,0.000359103,-1.81777,-0.365691,-0.00518705
1542785190.856149252,0.00163047,0.00148515,-0.000595252,0.00126076,0.00117551,0.000288289,-1.81825,-0.365863,-0.00547733
1542785190.903133778,0.00169222,0.00154109,-0.000579265,0.0012493,0.00113307,0.00035495,-1.8182,-0.366857,-0.00638881
1542785190.951482258,0.00104987,0.00104342,-0.000612715,0.000675957,0.000485069,0.000433497,-1.81612,-0.366006,-0.00525435
1542785191.049035294,0.000662303,0.00110589,-0.000635024,0.000292033,0.000434164,0.000389369,-1.81613,-0.368317,-0.00637513
1542785191.149630719,0.000533489,0.00100594,-0.000535721,0.000139515,0.000229592,0.000461272,-1.81578,-0.367341,-0.00663887
1542785191.250855093,3.05268e-05,0.001361,-0.000774641,-0.000249238,0.00055201,0.000185769,-1.81641,-0.367725,-0.0053157
1542785191.306821898,1.7587e-05,0.00139081,-0.000765448,-0.00025604,0.000556433,0.000154997,-1.8163,-0.368544,-0.0046203
1542785191.355725083,0.000460112,0.00144188,-0.000789388,0.000168331,-0.000936666,-0.00262054,-1.81591,-0.37178,0.024878
1542785191.407215397,0.000244322,-0.00110063,0.000800222,-0.00365362,0.00580413,0.00422073,-1.80217,-0.352641,0.0255867
1542785191.456855208,0.00983112,-0.000612213,0.00270928,6.75804e-05,-0.00231522,0.00206009,-1.8207,-0.320297,0.0360843
1542785191.506455036,0.0104399,0.000117321,0.00294053,0.0106841,-0.00219769,0.00372465,-1.79758,-0.307431,-0.0108129
